"","X","st","log.inv.age1","log.inv.prec.age1","agegrp","period","N_swabs","pop_offset_IPD","IPD_blurred","N_carr_blurred"
"281",281,"23A",1.3233625257057,1.05958752516457,2,0,1077,4685.025,6,8
"282",282,"23A",1.3233625257057,1.05958752516457,1,0,1077,1559.511,3,8
"283",283,"23A",1.3233625257057,1.05958752516457,1,2,3329,1610.316,5,80
"284",284,"23A",1.3233625257057,1.05958752516457,3,0,1077,4963.884,4,11
"285",285,"23A",1.3233625257057,1.05958752516457,4,3,3259,1899.7218255,2,96
"286",286,"23A",1.3233625257057,1.05958752516457,3,1,1918,3693.6125,4,33
"287",287,"23A",1.3233625257057,1.05958752516457,4,0,1077,2755.251,2,12
"288",288,"23A",1.3233625257057,1.05958752516457,4,1,1918,2302.9794375,4,34
"289",289,"23B",1.70435701191469,4.99605031799245,1,2,3329,1610.316,5,107
"290",290,"23B",1.70435701191469,4.99605031799245,3,0,1077,4963.884,6,19
"291",291,"23B",1.70435701191469,4.99605031799245,4,0,1077,2755.251,8,17
"292",292,"23B",1.70435701191469,4.99605031799245,1,0,1077,1559.511,4,22
"293",293,"23B",1.70435701191469,4.99605031799245,1,1,1918,1070.6159375,3,50
"294",294,"23B",1.70435701191469,4.99605031799245,3,2,3329,5747.136,8,111
"295",295,"23B",1.70435701191469,4.99605031799245,2,3,3259,2046.5561435,6,134
"296",296,"23B",1.70435701191469,4.99605031799245,3,1,1918,3693.6125,7,47
"297",297,"23B",1.70435701191469,4.99605031799245,2,0,1077,4685.025,10,21
"298",298,"23B",1.70435701191469,4.99605031799245,2,1,1918,3547.3925625,2,47
"299",299,"23B",1.70435701191469,4.99605031799245,2,2,3329,5094.192,3,113
"300",300,"23B",1.70435701191469,4.99605031799245,1,3,3259,682.89472565,7,135
"301",301,"23B",1.70435701191469,4.99605031799245,4,3,3259,1899.7218255,8,134
"302",302,"23B",1.70435701191469,4.99605031799245,4,2,3329,4206.696,2,108
"303",303,"23B",1.70435701191469,4.99605031799245,3,3,3259,2435.0243034,7,127
"304",304,"23B",1.70435701191469,4.99605031799245,4,1,1918,2302.9794375,6,44
"305",305,"23F",2.89454430763094,14.2852522679425,3,1,1918,3693.6125,6,42
"306",306,"23F",2.89454430763094,14.2852522679425,4,1,1918,2302.9794375,6,40
"307",307,"23F",2.89454430763094,14.2852522679425,3,0,1077,4963.884,4,61
"308",308,"23F",2.89454430763094,14.2852522679425,1,2,3329,1610.316,1,9
"309",309,"23F",2.89454430763094,14.2852522679425,1,3,3259,682.89472565,5,6
"310",310,"23F",2.89454430763094,14.2852522679425,4,2,3329,4206.696,5,5
"311",311,"23F",2.89454430763094,14.2852522679425,2,2,3329,5094.192,4,4
"312",312,"23F",2.89454430763094,14.2852522679425,1,1,1918,1070.6159375,6,39
"313",313,"23F",2.89454430763094,14.2852522679425,4,0,1077,2755.251,9,64
"314",314,"23F",2.89454430763094,14.2852522679425,3,2,3329,5747.136,2,2
"315",315,"23F",2.89454430763094,14.2852522679425,1,0,1077,1559.511,21,61
"316",316,"23F",2.89454430763094,14.2852522679425,2,3,3259,2046.5561435,7,8
"317",317,"23F",2.89454430763094,14.2852522679425,4,3,3259,1899.7218255,7,7
"318",318,"23F",2.89454430763094,14.2852522679425,2,0,1077,4685.025,3,63
"319",319,"23F",2.89454430763094,14.2852522679425,2,1,1918,3547.3925625,4,39
"320",320,"23F",2.89454430763094,14.2852522679425,3,3,3259,2435.0243034,7,6
"321",321,"3",3.22098838251506,13.6573495817855,3,2,3329,5747.136,10,57
"322",322,"3",3.22098838251506,13.6573495817855,2,2,3329,5094.192,5,61
"323",323,"3",3.22098838251506,13.6573495817855,3,3,3259,2435.0243034,6,37
"324",324,"3",3.22098838251506,13.6573495817855,3,1,1918,3693.6125,7,52
